value;language
Internet;en
Telecommunications Manufacturing;en
Real Estate;en
Consulting;en
Wood Product Manufacturing;en
Construction;en
Casual Restaurants;en
Chemical Manufacturing;en
Accounting;en
IT Services;en
Industrial Manufacturing;en
Unknown;en
Transportation Equipment Manufacturing;en
Religious Organizations;en
Wholesale;en
Security Services;en
Municipal Governments;en
Transportation Management;en
Federal Agencies;en
Miscellaneous Manufacturing;en
Express Delivery Services;en
Legal;en
Energy;en
Vehicle Dealers;en
